sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName		targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime		referenceDoi	referenceUrl	referenceCitation
	NCBI:txid202808	Vespa velutina							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid1906245	Moku virus										Belgium					2016		10.3201/eid2312.171080	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5708231/	Garigliany M, et al. 2017. Moku Virus in Invasive Asian Hornets, Belgium, 2016. Emerging infectious diseases 23: 2109-2112. doi:10.3201/eid2312.171080
	NCBI:txid202808	Vespa velutina							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid92395	Black queen cell virus										Liguria region (North West Italy)					2017-04/2017-11		10.1038/s41598-019-46565-2	https://www.nature.com/articles/s41598-019-46565-2.pdf	Mazzei M, Cilia G, Forzan M, Lavazza A, Mutinelli F, Felicioli A. 2019. Detection of replicative Kashmir Bee Virus and Black Queen Cell Virus in Asian hornet Vespa velutina (Lepelieter 1836) in Italy. Scientific Reports 9 (art. 10091). doi:10.1038/s41598-019-46565-2
	NCBI:txid202808	Vespa velutina							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid68876	Kashmir bee virus										Liguria region (North West Italy)					2017-04/2017-11		10.1038/s41598-019-46565-2	https://www.nature.com/articles/s41598-019-46565-2.pdf	Mazzei M, Cilia G, Forzan M, Lavazza A, Mutinelli F, Felicioli A. 2019. Detection of replicative Kashmir Bee Virus and Black Queen Cell Virus in Asian hornet Vespa velutina (Lepelieter 1836) in Italy. Scientific Reports 9 (art. 10091). doi:10.1038/s41598-019-46565-2
	NCBI:txid202809	Vespa velutina nigrithorax							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid198112	Deformed wing virus										Italy					2017			http://www.bulletinofinsectology.org/pdfarticles/vol71-2018-211-216mazzei.pdf	Mazzei M, Forzan M, Cilia G, Sagona S, Bortolotti L, Felicioli A. 2018. First detection of replicative deformed wing virus (DWV) in Vespa Velutina Nigrithorax. Bulletin of Insectology 71: 211-216.
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid7460	Apis mellifera										Lot-et-Garonne department, France					2007-06/2007-07 		10.1080/00379271.2009.10697595	https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249147740&doi=10.1080%2f00379271.2009.10697595&partnerID=40&md5=ef38fdfc582bbaf1c7283b7fa40560e9	Perrard A, Haxaire J, Rortais A, Villemant C. 2009. Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: vespidae: Vespinae) in France. Annales De La Societe Entomologique De France 45: 119-127. doi:10.1080/00379271.2009.10697595
	NCBI:txid202808	Vespa velutina							http://purl.obolibrary.org/obo/RO_0002470	eats		NCBI:txid8782	Aves										Lot-et-Garonne department, France					2007-06/2007-07 		10.1080/00379271.2009.10697595	https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249147740&doi=10.1080%2f00379271.2009.10697595&partnerID=40&md5=ef38fdfc582bbaf1c7283b7fa40560e9	Perrard A, Haxaire J, Rortais A, Villemant C. 2009. Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: vespidae: Vespinae) in France. Annales De La Societe Entomologique De France 45: 119-127. doi:10.1080/00379271.2009.10697595
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid7371	Calliphoridae										Lot-et-Garonne department, France					2007-06/2007-07 		10.1080/00379271.2009.10697595	https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249147740&doi=10.1080%2f00379271.2009.10697595&partnerID=40&md5=ef38fdfc582bbaf1c7283b7fa40560e9	Perrard A, Haxaire J, Rortais A, Villemant C. 2009. Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: vespidae: Vespinae) in France. Annales De La Societe Entomologique De France 45: 119-127. doi:10.1080/00379271.2009.10697595
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid77573	Halictinae										Lot-et-Garonne department, France					2007-06/2007-07 		10.1080/00379271.2009.10697595	https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249147740&doi=10.1080%2f00379271.2009.10697595&partnerID=40&md5=ef38fdfc582bbaf1c7283b7fa40560e9	Perrard A, Haxaire J, Rortais A, Villemant C. 2009. Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: vespidae: Vespinae) in France. Annales De La Societe Entomologique De France 45: 119-127. doi:10.1080/00379271.2009.10697595
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid7366	Muscidae										Lot-et-Garonne department, France					2007-06/2007-07 		10.1080/00379271.2009.10697595	https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249147740&doi=10.1080%2f00379271.2009.10697595&partnerID=40&md5=ef38fdfc582bbaf1c7283b7fa40560e9	Perrard A, Haxaire J, Rortais A, Villemant C. 2009. Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: vespidae: Vespinae) in France. Annales De La Societe Entomologique De France 45: 119-127. doi:10.1080/00379271.2009.10697595
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid34735	Other Apiformes										Lot-et-Garonne department, France					2007-06/2007-07 		10.1080/00379271.2009.10697595	https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249147740&doi=10.1080%2f00379271.2009.10697595&partnerID=40&md5=ef38fdfc582bbaf1c7283b7fa40560e9	Perrard A, Haxaire J, Rortais A, Villemant C. 2009. Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: vespidae: Vespinae) in France. Annales De La Societe Entomologique De France 45: 119-127. doi:10.1080/00379271.2009.10697595
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid7203	Other Brachycera										Lot-et-Garonne department, France					2007-06/2007-07 		10.1080/00379271.2009.10697595	https://www.scopus.com/inward/record.uri?eid=2-s2.0-68249147740&doi=10.1080%2f00379271.2009.10697595&partnerID=40&md5=ef38fdfc582bbaf1c7283b7fa40560e9	Perrard A, Haxaire J, Rortais A, Villemant C. 2009. Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: vespidae: Vespinae) in France. Annales De La Societe Entomologique De France 45: 119-127. doi:10.1080/00379271.2009.10697595
	NCBI:txid202808	Vespa velutina							http://purl.obolibrary.org/obo/RO_0002453	host of		NCBI:txid176275	Beauveria bassiana										Bretagne (North West of France)					2016		10.1016/j.jip.2018.02.021	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042939912&doi=10.1016%2fj.jip.2018.02.021&partnerID=40&md5=4b5e8b3f67dea6b4839116acb9085e6f	Poidatz J, López Plantey R, Thiéry D. 2018. Indigenous strains of Beauveria and Metharizium as potential biological control agents against the invasive hornet Vespa velutina. Journal of Invertebrate Pathology 153: 180-185. doi:10.1016/j.jip.2018.02.021
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid7460	Apis mellifera		thorax	http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive				municipalities of Baiona, Gondomar and Nigran, a southern coastal area of the province of Pontevedra, Northwest Spain				125	2017-09-22/2017-10-30		10.1007/s10530-020-02275-9	https://link.springer.com/content/pdf/10.1007/s10530-020-02275-9.pdf	Rojas-Nossa SV, Calvino-Cancela M. 2020. The invasive hornet Vespa velutina affects pollination of a wild plant through changes in abundance and behaviour of floral visitors. Biological Invasions 22: 2609-2618. doi:10.1007/s10530-020-02275-9
	NCBI:txid202808	Vespa velutina 							http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid28641	Bombus sp.		thorax	http://purl.obolibrary.org/obo/UBERON_0007023	adult	SIO:010058	alive				municipalities of Baiona, Gondomar and Nigran, a southern coastal area of the province of Pontevedra, Northwest Spain				125	2017-09-22/2017-10-30		10.1007/s10530-020-02275-9	https://link.springer.com/content/pdf/10.1007/s10530-020-02275-9.pdf	Rojas-Nossa SV, Calvino-Cancela M. 2020. The invasive hornet Vespa velutina affects pollination of a wild plant through changes in abundance and behaviour of floral visitors. Biological Invasions 22: 2609-2618. doi:10.1007/s10530-020-02275-9
